"color"	"code"	"value"
"Pearl_Light_Grey"	"135"	"#A0A0A0"
"Metallic_Blue"	"137"	"#5B7590"
"Pearl_Light_Gold"	"142"	"#DEAC66"
"Pearl_Dark_Gold"	"147"	"#83724F"
"Pearl_Dark_Grey"	"148"	"#484D48"
"Pearl_Very_Light_Grey"	"150"	"#989B99"
"Pearl_Red"	"176"	"#945148"
"Pearl_Yellow"	"178"	"#AB673A"
"Pearl_Silver"	"179"	"#898788"
"Pearl_White"	"183"	"#F6F2DF"
"Metallic_Bright_Red"	"184"	"#D60026"
"Metallic_Bright_Blue"	"185"	"#0059A3"
"Metallic_Dark_Green"	"186"	"#008E3C"
"Pearl_Brown"	"187"	"#57392C"
"Reddish_Gold"	"189"	"#AC8247"
"Lemon_Metallic"	"200"	"#708224"
"Cool_Silver"	"296"	"#ADADAD"
"Pearl_Gold"	"297"	"#AA7F2E"
"Flat_Silver"	"315"	"#8C8C8C"
"Titanium_Metallic"	"316"	"#3E3C39"
"Conductive_Black"	"342"	"#3E3C39"
"Reddish_Copper"	"346"	"#803D07"
"Metallic_Silver"	"80"	"#767676"
"Metallic_Green"	"81"	"#C2C06F"
"Metallic_Gold"	"82"	"#DBAC34"
"Metallic_Dark_Grey"	"87"	"#3E3C39"
"Metallic_Copper"	"300"	"#C27F53"
"Metallic_Light_Blue"	"10045"	"#97CBD9"
"Metallic_Pink"	"10046"	"#AD659A"
"Metallic_Light_Pink"	"10049"	"#FECCCF"
"Fluorescent_Red_Ink"	"332"	"#D06D4F"
"Fluorescent_Green_Ink"	"333"	"#DBEA7A"
"Milky_White"	"79"	"#EEEEEE"
"Glow_In_Dark_Opaque"	"21"	"#E0FFB0"
"Glow_In_Dark_Trans"	"294"	"#BDC6AD"
"Glow_In_Dark_White"	"329"	"#F5F3D7"
"Glitter_Trans_Dark_Pink"	"114"	"#DF6695"
"Glitter_Trans_Clear"	"117"	"#EEEEEE"
"Glitter_Trans_Purple"	"129"	"#640061"
"Glitter_Trans_Light_Blue"	"302"	"#AEE9EF"
"Glitter_Trans_Neon_Green"	"339"	"#C0FF00"
"Glitter_Trans_Orange"	"341"	"#F08F1C"
"Opal_Trans_Clear"	"360"	"#FCFCFC"
"Opal_Trans_Light_Blue"	"362"	"#AEE9EF"
"Opal_Trans_Black"	"363"	"#635F52"
"Opal_Trans_Dark_Pink"	"364"	"#DF6695"
"Opal_Trans_Purple"	"365"	"#671F81"
"Opal_Trans_Green"	"367"	"#237841"
"Glitter_Trans_Bright_Green"	"10351"	"#56E646"
"Opal_Trans_Dark_Blue"	"10366"	"#0020A0"
"Speckle_Black_Copper"	"75"	"#000000"
"Speckle_Dark_Bluish_Grey_Silver"	"76"	"#635F61"
"Speckle_Black_Silver"	"132"	"#000000"
"Speckle_Black_Gold"	"133"	"#000000"
"Modulex_Clear"	"30000"	"#FCFCFC"
"Modulex_White"	"30001"	"#F4F4F4"
"Modulex_Light_Grey"	"30002"	"#8A928D"
"Modulex_Black"	"30003"	"#34434D"
"Modulex_Terracotta"	"30004"	"#D27744"
"Modulex_Buff"	"30005"	"#D7BA8C"
"Modulex_Ochre_Yellow"	"30006"	"#FED557"
"Modulex_Olive_Green"	"30007"	"#7C9051"
"Modulex_Teal_Blue"	"30008"	"#467083"
"Modulex_Brown"	"30009"	"#907450"
"Modulex_Strong_Red"	"30010"	"#B40000"
"Modulex_Pastel_Blue"	"30011"	"#ABD9FF"
"Modulex_Orange"	"30012"	"#D86D2C"
"Modulex_Red"	"30013"	"#C65127"
"Modulex_Pastel_Green"	"30014"	"#78FC78"
"Modulex_Lemon"	"30015"	"#FFF230"
"Modulex_Pink"	"30016"	"#F785B1"
"Modulex_Light_Bluish_Grey"	"30032"	"#AFB5C7"
"Modulex_Pink_Red"	"30033"	"#F45C40"
"Modulex_Aqua_Green"	"30034"	"#27867E"
"Modulex_Light_Yellow"	"30035"	"#FFE371"
"Modulex_Violet"	"30037"	"#BD7D85"
"Modulex_Medium_Blue"	"30038"	"#61AFFF"
"Modulex_Light_Orange"	"30039"	"#F7AD63"
"Modulex_Charcoal_Grey"	"30040"	"#595D60"
"Modulex_Dark_Brown"	"30054"	"#330000"
"Modulex_Foil_White"	"30080"	"#F4F4F4"
"Modulex_Foil_Black"	"30081"	"#34434D"
"Modulex_Foil_Dark_Grey"	"30082"	"#595D60"
"Modulex_Foil_Light_Grey"	"30083"	"#9C9C9C"
"Modulex_Foil_Dark_Green"	"30084"	"#006400"
"Modulex_Foil_Light_Green"	"30085"	"#7DB538"
"Modulex_Foil_Dark_Blue"	"30086"	"#0057A6"
"Modulex_Foil_Light_Blue"	"30087"	"#68AECE"
"Modulex_Foil_Violet"	"30088"	"#4B0082"
"Modulex_Foil_Dark_Red"	"30089"	"#8B0000"
"Modulex_Foil_Yellow"	"30090"	"#FED557"
"Modulex_Foil_Orange"	"30091"	"#F7AD63"
"Modulex_Dark_Grey"	"31000"	"#6B5A5A"
"Modulex_Blue"	"31001"	"#0057A6"
"Modulex_Very_Light_Grey"	"31002"	"#D9D5CC"
"Rubber_Yellow"	"65"	"#FAC80A"
"Rubber_Black"	"256"	"#1B2A34"
"Rubber_Blue"	"273"	"#1E5AA8"
"Rubber_Red"	"324"	"#B40000"
"Rubber_Orange"	"350"	"#D67923"
"Rubber_Light_Grey"	"375"	"#8A928D"
"Rubber_Dark_Blue"	"406"	"#19325A"
"Rubber_Purple"	"449"	"#671F81"
"Rubber_Lime"	"490"	"#A5CA18"
"Rubber_Light_Bluish_Grey"	"496"	"#969696"
"Rubber_Flat_Silver"	"504"	"#898788"
"Rubber_White"	"511"	"#F4F4F4"
"Rubber_Green"	"10002"	"#00852B"
"Rubber_Dark_Turquoise"	"10003"	"#069D9F"
"Rubber_Dark_Pink"	"10005"	"#D3359D"
"Rubber_Dark_Grey"	"10008"	"#545955"
"Rubber_Bright_Green"	"10010"	"#58AB41"
"Rubber_Tan"	"10019"	"#D7BA8C"
"Rubber_Magenta"	"10026"	"#901F76"
"Rubber_Dark_Tan"	"10028"	"#897D62"
"Rubber_Bright_Pink"	"10029"	"#FF9ECD"
"Rubber_Medium_Lavender"	"10030"	"#A06EB9"
"Rubber_Lavender"	"10031"	"#CDA4DE"
